,Zone,kcal_jr,proteine_jr,percent_pop,ratio_proteine,cluster
102,Mongolie,3996.0,68.08999999999999,16.73,1.7,4
103,Monténégro,3141.0,54.86000000000001,16.160520231213862,1.67,4
104,Mozambique,6518.0,96.65,32.23,0.12,2
105,Myanmar,6940.0,153.80999999999995,7.69,0.35,1
106,Namibie,5338.0,91.81,18.86,0.59,2
107,Nicaragua,6909.0,112.10000000000007,14.56,0.45,3
108,Niger,5297.0,134.73000000000008,46.3,0.3,2
109,Nigéria,7215.0,129.89999999999998,30.22,0.15,2
110,Norvège,6410.0,93.59000000000002,11.15,1.73,4
111,Nouvelle-Calédonie,5636.0,80.27999999999999,15.27,1.51,4
112,Nouvelle-Zélande,6854.0,84.73999999999998,12.34,1.5,4
113,Népal,6730.0,146.71000000000004,7.32,0.19,1
114,Oman,6824.0,100.73,57.78,1.11,2
115,Ouganda,5666.0,100.57999999999998,37.39,0.28,2
116,Ouzbékistan,4727.0,106.88999999999997,16.25,0.72,2
117,Pakistan,5132.0,82.22000000000003,24.93,0.85,2
118,Panama,6530.0,96.08000000000001,19.52,1.02,3
119,Paraguay,6021.0,84.84,15.57,0.99,3
120,Pays-Bas,6394.0,79.02,3.97,2.42,4
121,Philippines,7561.0,108.21000000000001,19.05,0.45,3
122,Pologne,7238.0,109.25000000000006,-0.74,1.21,3
123,Polynésie française,5760.0,82.21000000000001,6.97,1.76,3
124,Portugal,6636.0,101.47000000000003,0.42,1.52,3
125,Pérou,6938.0,119.08000000000003,8.77,0.49,3
126,Roumanie,6496.0,121.94000000000005,-7.31,1.16,3
127,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,6893.0,103.64000000000001,9.1,0.9367816091954023,3
128,Rwanda,5886.0,116.64999999999999,26.34,0.1,2
129,République centrafricaine,4868.0,73.14000000000001,14.6,0.51,2
130,République de Corée,8257.0,134.12999999999997,4.32,0.66,3
131,République de Moldova,5274.0,84.99999999999999,-2.36,1.02,3
132,République dominicaine,6465.0,74.86,13.54,0.73,3
133,République démocratique populaire lao,7493.0,171.42,17.3,0.16,1
134,République populaire démocratique de Corée,5912.0,126.42,5.89,0.16,3
