code_pays,pays,annee,nb_personnes
199,Slovaquie,2013,200000.0
198,Slovénie,2013,0.0
201,Somalie,2013,0.0
276,Soudan,2013,8300000.000000001
277,Soudan du Sud,2013,0.0
38,Sri Lanka,2013,2300000.0
210,Suède,2013,0.0
211,Suisse,2013,0.0
207,Suriname,2013,0.0
208,Tadjikistan,2013,0.0
39,Tchad,2013,4900000.0
167,Tchéquie (la),2013,0.0
216,Thaïlande,2013,5600000.0
176,Timor-Leste,2013,300000.0
217,Togo,2013,1300000.0
218,Tokélaou,2013,0.0
219,Tonga,2013,0.0
220,Trinité-et-Tobago,2013,0.0
222,Tunisie,2013,500000.0
213,Turkménistan,2013,300000.0
223,Turquie,2013,0.0
227,Tuvalu,2013,0.0
230,Ukraine,2013,0.0
234,Uruguay,2013,0.0
155,Vanuatu,2013,0.0
236,Venezuela (République bolivarienne du),2013,1900000.0
237,Viet Nam,2013,10400000.0
249,Yémen,2013,7200000.0
251,Zambie,2013,7000000.0
181,Zimbabwe,2013,6600000.0
