code_pays,pays,code_produit,produit,annee,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
1,Arménie,2511,Blé,2013,554000000.0,93000000.0,30000000.0,32000000.0,10000000.0,389000000.0,0.0
1,Arménie,2513,Orge,2013,198000000.0,137000000.0,14000000.0,15000000.0,7000000.0,0.0,26000000.0
1,Arménie,2514,Maïs,2013,102000000.0,96000000.0,0.0,7000000.0,0.0,0.0,0.0
1,Arménie,2515,Seigle,2013,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2516,Avoine,2013,6000000.0,4000000.0,0.0,0.0,0.0,1000000.0,0.0
1,Arménie,2517,Millet,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2518,Sorgho,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2520,"Céréales, Autres",2013,21000000.0,1000000.0,1000000.0,1000000.0,0.0,6000000.0,12000000.0
1,Arménie,2531,Pommes de Terre,2013,672000000.0,225000000.0,123000000.0,96000000.0,78000000.0,134000000.0,16000000.0
1,Arménie,2532,Manioc,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2534,Racines nda,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2537,"Sucre, betterave",2013,55000000.0,1000000.0,0.0,0.0,54000000.0,0.0,0.0
1,Arménie,2542,Sucre Eq Brut,2013,93000000.0,0.0,0.0,0.0,0.0,98000000.0,0.0
1,Arménie,2543,Edulcorants Autres,2013,5000000.0,0.0,0.0,0.0,0.0,5000000.0,0.0
1,Arménie,2546,Haricots,2013,5000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2547,Pois,2013,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2549,Légumineuses Autres,2013,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2551,Noix,2013,6000000.0,0.0,0.0,0.0,0.0,6000000.0,0.0
1,Arménie,2555,Soja,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2556,Arachides Decortiquees,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
1,Arménie,2557,Graines de tournesol,2013,2000000.0,0.0,0.0,0.0,2000000.0,0.0,0.0
1,Arménie,2558,Graines Colza/Moutarde,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2560,Coco (Incl Coprah),2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2561,Sésame,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2563,Olives,2013,3000000.0,0.0,0.0,0.0,0.0,3000000.0,0.0
1,Arménie,2570,"Plantes Oleiferes, Autre",2013,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2571,Huile de Soja,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
1,Arménie,2572,Huile d'Arachide,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2573,Huile de Tournesol,2013,30000000.0,0.0,0.0,0.0,0.0,26000000.0,3000000.0
1,Arménie,2574,Huile de Colza&Moutarde,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2575,Huile Graines de Coton,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2576,Huile de Palmistes,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2577,Huile de Palme,2013,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0
1,Arménie,2578,Huile de Coco,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
1,Arménie,2579,Huile de Sésame,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2580,Huile d'Olive,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2582,Huile de Germe de Maïs,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2586,Huil Plantes Oleif Autr,2013,2000000.0,0.0,0.0,0.0,0.0,0.0,2000000.0
1,Arménie,2601,Tomates,2013,273000000.0,0.0,0.0,11000000.0,0.0,262000000.0,0.0
1,Arménie,2602,Oignons,2013,53000000.0,0.0,0.0,0.0,0.0,52000000.0,0.0
1,Arménie,2605,"Légumes, Autres",2013,764000000.0,13000000.0,0.0,27000000.0,0.0,724000000.0,0.0
1,Arménie,2611,"Oranges, Mandarines",2013,14000000.0,0.0,0.0,0.0,0.0,14000000.0,0.0
1,Arménie,2612,Citrons & Limes,2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
1,Arménie,2613,Pamplemousse,2013,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
1,Arménie,2614,"Agrumes, Autres",2013,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
1,Arménie,2615,Bananes,2013,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
1,Arménie,2616,Bananes plantains,2013,8000000.0,0.0,0.0,0.0,0.0,8000000.0,0.0
1,Arménie,2617,Pommes,2013,107000000.0,19000000.0,0.0,8000000.0,7000000.0,74000000.0,0.0
1,Arménie,2618,Ananas,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2619,Dattes,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Arménie,2620,Raisin,2013,235000000.0,0.0,0.0,12000000.0,8000000.0,40000000.0,175000000.0
